No.	ID	loglik_all	loglik_Max
0	0	-763.8103	-751.59921
1	1	-1131.332	-1119.1681
2	2	-765.40618	-751.27944
3	3	-786.64095	-774.29368
4	4	-1030.4091	-1018.7586
5	5	-748.28358	-739.24444
6	6	-1641.8499	-1630.7371
7	7	-1405.7694	-1394.1533
8	8	-1039.8309	-1027.809
9	9	-1216.8931	-1204.1976
0	0	-764.09227	-751.7427
1	1	-1131.1498	-1119.1896
2	2	-765.08474	-751.42818
3	3	-787.13517	-774.41468
4	4	-1030.6732	-1018.7812
5	5	-748.85313	-739.26437
6	6	-1641.5347	-1630.5215
7	7	-1405.5721	-1394.125
8	8	-1039.5263	-1027.8178
9	9	-1216.4991	-1204.0079
0	0	-763.32234	-751.62512
1	1	-1130.47	-1119.3325
2	2	-765.20151	-750.905
3	3	-786.07043	-774.30751
4	4	-1029.7247	-1018.7311
5	5	-748.04604	-739.33668
6	6	-1641.2242	-1630.3135
7	7	-1405.1683	-1394.2185
8	8	-1039.028	-1027.7626
9	9	-1216.097	-1204.5889
0	0	-763.93043	-751.58676
1	1	-1130.7847	-1119.1178
2	2	-764.39181	-751.10868
3	3	-786.19846	-774.26524
4	4	-1030.2167	-1018.7808
5	5	-747.78824	-739.20815
6	6	-1641.2823	-1630.6548
7	7	-1405.3321	-1394.2772
8	8	-1038.9303	-1027.7319
9	9	-1215.7286	-1204.0709
0	0	-763.42764	-751.31652
1	1	-1131.0608	-1119.3538
2	2	-764.17908	-750.02258
3	3	-785.91563	-774.01294
4	4	-1030.4491	-1018.9683
5	5	-747.53019	-738.99323
6	6	-1642.0492	-1629.4465
7	7	-1405.861	-1394.6383
8	8	-1039.1577	-1027.7493
9	9	-1216.0435	-1203.6934
0	0	-763.33827	-751.24153
1	1	-1130.8725	-1119.3137
2	2	-763.57137	-750.19736
3	3	-785.6727	-773.93108
4	4	-1030.185	-1018.8138
5	5	-747.5427	-738.99024
6	6	-1641.6715	-1629.2475
7	7	-1405.6548	-1394.5703
8	8	-1038.9855	-1027.6329
9	9	-1215.721	-1203.6264
0	0	-763.01425	-751.18952
1	1	-1130.8558	-1119.18
2	2	-763.44543	-750.27293
3	3	-785.78942	-773.88656
4	4	-1030.0833	-1018.7869
5	5	-747.3496	-738.84116
6	6	-1641.6485	-1631.1643
7	7	-1405.8274	-1394.6468
8	8	-1038.9085	-1027.644
9	9	-1215.7589	-1204.0907
0	0	-762.72815	-751.22654
1	1	-1130.8242	-1119.0929
2	2	-763.71833	-750.45977
3	3	-785.59071	-773.93343
4	4	-1029.8633	-1018.6976
5	5	-747.21196	-738.87094
6	6	-1641.5479	-1630.4794
7	7	-1405.6342	-1394.3552
8	8	-1039.0708	-1027.5832
9	9	-1215.5262	-1203.8898
0	0	-762.76807	-751.33818
1	1	-1130.4225	-1119.2278
2	2	-763.76625	-750.67084
3	3	-785.13039	-774.02995
4	4	-1029.6403	-1018.6524
5	5	-746.84707	-738.95939
6	6	-1640.9767	-1629.2099
7	7	-1404.9166	-1394.3688
8	8	-1038.696	-1027.6247
9	9	-1215.5584	-1203.9678
0	0	-762.64715	-751.29363
1	1	-1130.0971	-1118.9525
2	2	-763.12898	-750.56885
3	3	-785.25878	-773.9842
4	4	-1029.5751	-1018.5955
5	5	-746.46374	-739.00136
6	6	-1641.0343	-1630.6731
7	7	-1404.9285	-1394.6046
8	8	-1038.6254	-1027.5697
9	9	-1215.1802	-1203.9491
0	0	-762.68555	-751.2664
1	1	-1130.098	-1119.0685
2	2	-763.35052	-750.4119
3	3	-785.01206	-773.95223
4	4	-1029.286	-1018.6191
5	5	-746.26305	-738.91423
6	6	-1640.8013	-1630.8999
7	7	-1404.9154	-1394.2978
8	8	-1038.4532	-1027.5559
9	9	-1215.1592	-1203.8484
0	0	-762.71974	-751.37659
1	1	-1130.1661	-1119.5036
2	2	-763.69728	-750.64272
3	3	-785.53006	-774.06645
4	4	-1029.5506	-1018.6078
5	5	-746.08751	-738.94929
6	6	-1640.7912	-1630.8212
7	7	-1404.6386	-1394.3122
8	8	-1038.3029	-1027.6246
9	9	-1215.0122	-1204.2103
0	0	-762.77178	-751.35893
1	1	-1130.5104	-1119.0573
2	2	-763.24097	-750.7073
3	3	-785.55591	-774.04408
4	4	-1029.3894	-1018.6104
5	5	-746.13351	-738.94427
6	6	-1640.7965	-1630.8343
7	7	-1404.6662	-1394.3156
8	8	-1038.467	-1027.6131
9	9	-1215.1088	-1204.2288
0	0	-763.31662	-751.53819
1	1	-1129.8765	-1118.9603
2	2	-763.16941	-750.77248
3	3	-785.77924	-774.1925
4	4	-1029.3588	-1018.632
5	5	-746.34548	-739.77866
6	6	-1640.4604	-1630.5615
7	7	-1404.4057	-1394.2124
8	8	-1038.3997	-1027.6298
9	9	-1214.9058	-1204.0503
0	0	-762.90674	-751.53113
1	1	-1129.8657	-1118.9622
2	2	-764.25741	-750.91619
3	3	-785.60278	-774.19706
4	4	-1029.2252	-1018.6313
5	5	-745.96129	-739.19198
6	6	-1640.5819	-1630.5755
7	7	-1404.3114	-1394.2396
8	8	-1038.4241	-1027.6386
9	9	-1214.718	-1204.0012
0	0	-762.91706	-751.61504
1	1	-1129.9389	-1118.9934
2	2	-763.88888	-750.96183
3	3	-785.7658	-774.29431
4	4	-1029.1983	-1018.6687
5	5	-746.02761	-739.24468
6	6	-1640.4071	-1630.5631
7	7	-1404.3617	-1394.0673
8	8	-1038.6032	-1027.7022
9	9	-1215.0072	-1204.1329
0	0	-763.09652	-751.62608
1	1	-1129.8308	-1118.9638
2	2	-763.60186	-751.21979
3	3	-785.34607	-774.3034
4	4	-1029.1441	-1018.6156
5	5	-745.66889	-739.10522
6	6	-1640.341	-1630.6023
7	7	-1404.3215	-1394.3717
8	8	-1038.5474	-1027.7283
9	9	-1214.8041	-1204.1839
0	0	-763.54223	-751.73797
1	1	-1129.8869	-1119.4141
2	2	-763.42995	-752.21409
3	3	-785.36199	-774.3831
4	4	-1029.2366	-1018.5981
5	5	-745.83464	-739.13403
6	6	-1640.3238	-1630.4607
7	7	-1404.3386	-1394.2901
8	8	-1038.532	-1027.7231
9	9	-1214.8289	-1204.1118
0	0	-763.02833	-751.54635
1	1	-1129.8289	-1119.3771
2	2	-762.91112	-751.03382
3	3	-785.18651	-774.18821
4	4	-1029.1866	-1018.5136
5	5	-745.77577	-739.04722
6	6	-1640.4185	-1630.4378
7	7	-1404.2215	-1394.2771
8	8	-1038.3296	-1027.5679
9	9	-1214.5976	-1204.5415
0	0	-762.8256	-751.45056
1	1	-1129.832	-1119.3783
2	2	-763.39145	-751.01044
3	3	-785.22463	-774.12109
4	4	-1029.0109	-1018.4988
5	5	-745.76059	-739.00794
6	6	-1640.3089	-1630.4499
7	7	-1404.3227	-1394.2212
8	8	-1038.2266	-1027.5179
9	9	-1214.4225	-1204.575
0	0	-763.48847	-751.3643
1	1	-1129.8669	-1119.3496
2	2	-762.83385	-750.88312
3	3	-785.21681	-774.04708
4	4	-1028.9454	-1018.4564
5	5	-745.74638	-738.92922
6	6	-1640.5572	-1630.2546
7	7	-1404.6188	-1394.3486
8	8	-1038.2911	-1027.4758
9	9	-1214.9836	-1203.9201
0	0	-763.04411	-751.53093
1	1	-1129.8405	-1118.8618
2	2	-762.85459	-751.08927
3	3	-785.35209	-774.19705
4	4	-1029.0972	-1018.5041
5	5	-745.78121	-739.27393
6	6	-1640.3775	-1630.544
7	7	-1404.4553	-1394.0041
8	8	-1038.4072	-1027.6104
9	9	-1214.3504	-1205.0847
0	0	-763.53433	-751.82711
1	1	-1129.7411	-1119.1636
2	2	-763.60062	-751.43446
3	3	-785.60857	-774.47873
4	4	-1029.0688	-1018.6461
5	5	-745.84679	-740.36807
6	6	-1640.052	-1630.3476
7	7	-1404.275	-1394.2208
8	8	-1038.1547	-1027.7396
9	9	-1214.3719	-1204.1568
0	0	-763.51871	-751.92838
1	1	-1129.8163	-1119.0389
2	2	-763.50865	-751.40654
3	3	-785.92177	-774.57374
4	4	-1029.0743	-1018.6803
5	5	-745.2427	-739.80152
6	6	-1640.0431	-1630.319
7	7	-1404.255	-1394.2592
8	8	-1038.3981	-1027.789
9	9	-1214.2111	-1204.5562
0	0	-763.63371	-751.98179
1	1	-1129.8389	-1118.9905
2	2	-763.34915	-752.53299
3	3	-785.87864	-774.68087
4	4	-1029.0921	-1018.6562
5	5	-745.45536	-739.78032
6	6	-1639.8792	-1630.2405
7	7	-1403.8777	-1394.1735
8	8	-1038.2301	-1027.7915
9	9	-1214.1497	-1204.728
0	0	-763.39696	-752.02699
1	1	-1129.8049	-1119.0075
2	2	-763.57106	-753.0266
3	3	-786.15517	-774.67137
4	4	-1029.2587	-1018.6855
5	5	-745.75052	-739.45935
6	6	-1639.9853	-1630.2393
7	7	-1404.1723	-1394.1845
8	8	-1038.2167	-1027.8229
9	9	-1214.4605	-1204.0782
0	0	-763.41597	-751.65711
1	1	-1129.868	-1118.9163
2	2	-763.10401	-751.19774
3	3	-785.41611	-774.30522
4	4	-1029.4187	-1018.6111
5	5	-745.55793	-739.75712
6	6	-1640.2553	-1630.3813
7	7	-1404.2809	-1394.2123
8	8	-1038.5233	-1027.6114
9	9	-1214.3811	-1203.9501
0	0	-763.53858	-751.58057
1	1	-1130.0217	-1119.0398
2	2	-763.00917	-751.17024
3	3	-785.46433	-774.2023
4	4	-1029.2835	-1018.6304
5	5	-745.1201	-739.53267
6	6	-1640.6319	-1630.6704
7	7	-1404.6068	-1394.4799
8	8	-1038.2484	-1027.6518
9	9	-1214.357	-1204.1058
0	0	-763.65495	-751.52724
1	1	-1129.8759	-1118.8904
2	2	-763.01393	-750.9676
3	3	-785.34512	-774.18357
4	4	-1029.3118	-1018.5102
5	5	-745.25513	-739.51178
6	6	-1640.4905	-1630.5132
7	7	-1404.3918	-1394.3022
8	8	-1038.4087	-1027.5465
9	9	-1214.3619	-1203.8983
0	0	-763.4573	-751.51427
1	1	-1129.9153	-1118.8975
2	2	-762.84998	-750.83241
3	3	-785.70555	-774.17445
4	4	-1029.0569	-1018.5153
5	5	-745.20258	-739.57267
6	6	-1640.41	-1630.5085
7	7	-1404.2649	-1394.0446
8	8	-1038.2	-1027.597
9	9	-1214.276	-1203.846
0	0	-763.22981	-751.34239
1	1	-1129.9544	-1119.4584
2	2	-762.70645	-750.67637
3	3	-785.63815	-774.0191
4	4	-1029.1408	-1018.5603
5	5	-744.94202	-739.34346
6	6	-1640.8996	-1630.9936
7	7	-1404.604	-1394.6323
8	8	-1038.116	-1027.6053
9	9	-1214.3026	-1204.26
0	0	-763.04231	-751.57502
1	1	-1129.7944	-1119.407
2	2	-763.10915	-751.50842
3	3	-785.34736	-774.26286
4	4	-1029.2512	-1018.5483
5	5	-744.73973	-738.94273
6	6	-1640.7896	-1630.969
7	7	-1404.5241	-1394.2444
8	8	-1038.5692	-1027.7426
9	9	-1214.5324	-1205.0318
0	0	-763.46498	-751.61507
1	1	-1129.8253	-1119.4023
2	2	-763.23893	-751.56296
3	3	-785.12966	-774.3038
4	4	-1029.1469	-1018.5424
5	5	-745.25046	-738.95697
6	6	-1640.6996	-1630.848
7	7	-1404.7599	-1394.409
8	8	-1038.5676	-1027.7476
9	9	-1214.4958	-1204.5259
0	0	-763.47315	-751.87931
1	1	-1130.2153	-1119.5064
2	2	-763.59913	-753.09796
3	3	-786.22135	-774.56588
4	4	-1029.4419	-1018.6812
5	5	-744.87384	-739.49387
6	6	-1640.8643	-1630.9103
7	7	-1404.8534	-1394.5386
8	8	-1038.8527	-1027.9583
9	9	-1214.6065	-1205.8533
0	0	-763.09811	-751.48504
1	1	-1129.9794	-1119.0928
2	2	-763.35866	-751.36769
3	3	-785.0581	-774.1721
4	4	-1029.2071	-1018.5474
5	5	-745.2102	-739.39321
6	6	-1640.8522	-1630.8192
7	7	-1404.6685	-1394.5076
8	8	-1038.6879	-1027.6609
9	9	-1214.8939	-1204.2754
0	0	-763.87165	-751.71003
1	1	-1130.4395	-1118.9153
2	2	-763.19595	-751.60405
3	3	-785.7204	-774.36933
4	4	-1029.2656	-1018.5471
5	5	-745.27294	-739.96838
6	6	-1640.6277	-1630.6571
7	7	-1404.6949	-1394.3873
8	8	-1038.5007	-1027.7443
9	9	-1214.6445	-1204.4684
0	0	-763.07258	-751.65317
1	1	-1130.2479	-1119.4764
2	2	-763.02279	-751.72977
3	3	-785.66983	-774.33797
4	4	-1029.2496	-1018.6146
5	5	-745.5591	-738.99951
6	6	-1640.8715	-1630.8572
7	7	-1404.7359	-1394.5444
8	8	-1038.7185	-1027.8135
9	9	-1214.7827	-1205.0356
0	0	-763.18476	-751.35405
1	1	-1130.1493	-1119.0941
2	2	-763.48184	-750.66154
3	3	-785.66575	-774.04468
4	4	-1029.4116	-1018.5669
5	5	-745.32775	-739.52926
6	6	-1640.8838	-1630.8223
7	7	-1404.9146	-1394.4625
8	8	-1038.5203	-1027.5901
9	9	-1214.8537	-1204.9898
0	0	-763.16116	-751.35372
1	1	-1130.1602	-1119.1735
2	2	-762.70115	-750.93216
3	3	-785.31509	-774.01028
4	4	-1029.3118	-1018.5861
5	5	-745.72881	-739.10645
6	6	-1641.337	-1630.9301
7	7	-1404.8086	-1394.5158
8	8	-1038.4606	-1027.6203
9	9	-1214.7618	-1203.9148
0	0	-763.23686	-751.55598
1	1	-1130.0141	-1119.3566
2	2	-763.5116	-752.2946
3	3	-785.41088	-774.25207
4	4	-1029.3075	-1018.6352
5	5	-745.03798	-739.2025
6	6	-1640.9379	-1630.9126
7	7	-1404.6635	-1394.4917
8	8	-1038.4384	-1027.7962
9	9	-1215.1314	-1204.7902
0	0	-763.48608	-751.52785
1	1	-1130.0471	-1119.441
2	2	-762.93527	-751.5739
3	3	-785.61138	-774.22276
4	4	-1029.5797	-1018.6541
5	5	-745.12359	-740.69692
6	6	-1640.8891	-1631.0391
7	7	-1405.0226	-1394.4177
8	8	-1038.4342	-1027.7948
9	9	-1214.6526	-1204.4493
0	0	-763.26839	-751.3971
1	1	-1130.0531	-1119.4129
2	2	-762.9873	-750.93325
3	3	-785.20447	-774.09449
4	4	-1029.4183	-1018.6589
5	5	-744.93139	-739.42653
6	6	-1641.0198	-1631.1122
7	7	-1404.7272	-1394.6361
8	8	-1038.328	-1027.7321
9	9	-1214.56	-1204.7388
0	0	-763.48692	-751.41298
1	1	-1130.0236	-1118.9692
2	2	-763.02897	-750.76851
3	3	-785.20514	-774.08374
4	4	-1029.2849	-1018.5643
5	5	-744.82764	-739.39983
6	6	-1640.9503	-1630.9165
7	7	-1404.6799	-1394.5743
8	8	-1038.4434	-1027.6229
9	9	-1214.4706	-1204.4528
0	0	-762.84423	-751.38972
1	1	-1130.2516	-1118.9009
2	2	-762.67037	-750.59391
3	3	-785.50778	-774.04526
4	4	-1029.3755	-1018.5331
5	5	-745.18567	-739.72869
6	6	-1640.7717	-1630.7563
7	7	-1404.8198	-1394.4462
8	8	-1038.3522	-1027.5431
9	9	-1214.1893	-1204.0645
0	0	-763.18516	-751.2623
1	1	-1130.3129	-1119.5063
2	2	-762.77185	-750.2753
3	3	-785.27274	-773.94377
4	4	-1029.6106	-1018.6524
5	5	-745.59853	-739.33457
6	6	-1641.1858	-1631.1103
7	7	-1405.0052	-1394.704
8	8	-1038.3609	-1027.5987
9	9	-1214.6054	-1204.3606
0	0	-762.96041	-751.21285
1	1	-1130.3157	-1119.3918
2	2	-763.08352	-750.307
3	3	-785.20848	-773.87368
4	4	-1029.34	-1018.7234
5	5	-745.15472	-739.37589
6	6	-1641.5079	-1631.3579
7	7	-1405.5124	-1394.8897
8	8	-1038.493	-1027.6223
9	9	-1214.8649	-1203.821
0	0	-762.98645	-751.17983
1	1	-1130.4512	-1119.2511
2	2	-762.714	-750.01368
3	3	-785.63557	-773.87981
4	4	-1029.4666	-1018.7023
5	5	-745.26773	-739.31345
6	6	-1641.3521	-1631.3219
7	7	-1405.1283	-1394.8507
8	8	-1038.2583	-1027.5755
9	9	-1214.4331	-1203.771
0	0	-763.1211	-751.1652
1	1	-1130.6627	-1119.6425
2	2	-762.79903	-750.07902
3	3	-785.24011	-773.84951
4	4	-1029.4583	-1018.718
5	5	-745.20252	-739.23107
6	6	-1641.2522	-1631.2265
7	7	-1405.2382	-1394.9523
8	8	-1038.2055	-1027.5755
9	9	-1214.3073	-1203.7018
0	0	-762.68766	-751.27225
1	1	-1130.4646	-1119.5868
2	2	-763.04535	-750.23054
3	3	-785.0086	-773.9371
4	4	-1029.3432	-1018.6654
5	5	-745.67878	-739.13596
6	6	-1641.1091	-1630.9678
7	7	-1404.9066	-1394.2927
8	8	-1038.2414	-1027.5174
9	9	-1214.3174	-1203.6422
0	0	-762.39521	-751.22833
1	1	-1130.2187	-1118.9964
2	2	-762.68491	-750.44846
3	3	-785.09414	-773.88751
4	4	-1029.3291	-1018.6465
5	5	-745.55575	-738.85161
6	6	-1641.0736	-1631.0548
7	7	-1404.9836	-1394.4967
8	8	-1038.3468	-1027.5056
9	9	-1214.6955	-1203.4991
0	0	-762.79187	-751.36254
1	1	-1130.5602	-1119.1063
2	2	-763.7153	-750.42816
3	3	-785.20732	-773.99903
4	4	-1029.3221	-1018.6763
5	5	-745.93607	-739.6527
6	6	-1640.8841	-1630.8591
7	7	-1404.8546	-1394.246
8	8	-1038.2459	-1027.5239
9	9	-1214.3986	-1204.6579
0	0	-762.82475	-751.32417
1	1	-1130.1662	-1119.0495
2	2	-762.94792	-750.13477
3	3	-785.74931	-773.97654
4	4	-1029.447	-1018.6871
5	5	-745.65333	-741.03033
6	6	-1641.0486	-1630.9272
7	7	-1404.9311	-1394.5905
8	8	-1038.1927	-1027.5367
9	9	-1214.6605	-1204.0009
0	0	-762.93983	-751.48312
1	1	-1130.0043	-1118.8878
2	2	-762.94698	-751.38496
3	3	-785.48919	-774.15872
4	4	-1029.3554	-1018.5316
5	5	-745.40521	-739.45948
6	6	-1640.5854	-1630.5989
7	7	-1404.7345	-1394.3426
8	8	-1038.2862	-1027.5865
9	9	-1214.4142	-1204.0417
0	0	-762.39113	-751.36667
1	1	-1129.9452	-1118.9097
2	2	-763.15778	-750.85826
3	3	-784.99785	-774.04885
4	4	-1029.4198	-1018.5427
5	5	-745.2618	-739.30361
6	6	-1640.8156	-1630.8596
7	7	-1404.7127	-1394.5006
8	8	-1038.2979	-1027.5953
9	9	-1214.6318	-1204.0412
0	0	-762.45877	-751.50219
1	1	-1129.8979	-1119.025
2	2	-763.29852	-750.92642
3	3	-785.35916	-774.15593
4	4	-1029.0965	-1018.4937
5	5	-745.59444	-739.06375
6	6	-1640.3978	-1630.5697
7	7	-1404.2604	-1394.1044
8	8	-1038.2043	-1027.5399
9	9	-1214.6162	-1203.9117
0	0	-762.54849	-751.43008
1	1	-1130.0144	-1119.1726
2	2	-762.86902	-750.41523
3	3	-785.54183	-774.09361
4	4	-1029.0677	-1018.5921
5	5	-746.10219	-739.42627
6	6	-1640.5308	-1630.7244
7	7	-1404.5022	-1394.4586
8	8	-1038.254	-1027.5593
9	9	-1214.6231	-1203.6746
0	0	-763.29026	-751.61834
1	1	-1130.1646	-1119.1884
2	2	-763.8219	-751.1136
3	3	-785.45442	-774.27945
4	4	-1029.3796	-1018.5912
5	5	-746.42033	-739.41311
6	6	-1640.5886	-1630.6059
7	7	-1404.4819	-1394.1742
8	8	-1038.4419	-1027.6555
9	9	-1214.9107	-1204.2757
0	0	-762.62039	-751.45645
1	1	-1130.2376	-1119.5298
2	2	-763.11639	-751.10395
3	3	-785.36873	-774.14408
4	4	-1029.1877	-1018.647
5	5	-745.45088	-739.08914
6	6	-1640.7403	-1630.9518
7	7	-1404.6304	-1394.5793
8	8	-1038.2272	-1027.71
9	9	-1214.5256	-1204.1834
0	0	-762.8497	-751.59503
1	1	-1130.0872	-1119.1895
2	2	-763.4225	-750.8729
3	3	-785.3996	-774.27469
4	4	-1028.9969	-1018.708
5	5	-745.87868	-739.22074
6	6	-1640.4116	-1630.8067
7	7	-1404.6438	-1394.4164
8	8	-1038.267	-1027.7899
9	9	-1214.6406	-1204.0477
0	0	-762.95427	-751.70368
1	1	-1129.7429	-1119.2174
2	2	-763.08161	-751.10668
3	3	-785.50515	-774.37343
4	4	-1028.8565	-1018.6928
5	5	-745.27818	-739.32448
6	6	-1640.5056	-1629.7672
7	7	-1404.3079	-1394.4056
8	8	-1038.2808	-1027.802
9	9	-1214.3823	-1204.3471
0	0	-762.83239	-751.94905
1	1	-1130.0343	-1119.1807
2	2	-763.11141	-751.12816
3	3	-785.7113	-774.60822
4	4	-1029.2995	-1018.8265
5	5	-745.45517	-739.42015
6	6	-1640.3557	-1630.5034
7	7	-1404.3642	-1394.1665
8	8	-1038.5174	-1027.9079
9	9	-1214.2928	-1204.0447
0	0	-762.87232	-751.95641
